Date,rstar (filtered),g (filtered),z (filtered),output gap (filtered),,All results are output from the Stage 3 model.,,,,,,,,,,,,,Standard Errors,Date,y*,r*,g,,rrgap,,Date,rstar (smoothed),g (smoothed),z (smoothed),output gap (smoothed)
1979-07-01,7.73566811876715,3.58578397659583,-0.0230836661258016,0.720645942639521,,,,,,,,,,,,,,,,1979-07-01,2.26699797011893,1.55392145189578,0.249848145594198,,3.97223188123285,,1979-07-01,7.21646402073766,3.27555989771491,0.128960599227482,0.400726208164997
1979-10-01,7.76066899588998,3.57441073304631,0.0265261038544577,0.294857747238552,,,,,,,,,,,,,,,,1979-10-01,2.28221390093517,1.55429747949685,0.249791093716222,,6.99173100411002,,1979-10-01,7.20205358793623,3.26918664449269,0.128340313890665,-0.204750513693966
1980-01-01,7.96387164361586,3.57661754511711,0.224953754758159,0.033706037863567,,,,,,,,,,,,,,,,1980-01-01,2.29738192618276,1.55500137164326,0.249762712081128,,8.44242835638414,,1980-01-01,7.19011981993886,3.26306366016622,0.129655173217742,-1.06039220512309
1980-04-01,7.59191118497105,3.43017693268683,0.169854649304192,-1.31980699475662,,,,,,,,,,,,,,,,1980-04-01,2.29862282607937,1.55653608256477,0.249761909919626,,6.12348881502895,,1980-04-01,7.18417670575303,3.25723511006313,0.136323603344339,-2.48523127300427
1980-07-01,7.63480540104927,3.44451333002921,0.181728438832698,-2.44505316114748,,,,,,,,,,,,,,,,1980-07-01,2.32494859797846,1.55927189048489,0.249796951498569,,2.76539459895073,,1980-07-01,7.18657092562341,3.25417842069636,0.14533174481042,-3.40671511244238
1980-10-01,8.07626980347961,3.56052857098953,0.372164484911758,-2.49165200066045,,,,,,,,,,,,,,,,1980-10-01,2.35299842266388,1.56148507359774,0.249843238905515,,9.34863019652039,,1980-10-01,7.18068506902943,3.25014547081903,0.148172196678786,-3.50962568376531
1981-01-01,8.29073681415704,3.65926009602673,0.373000835987971,-2.60190790621709,,,,,,,,,,,,,,,,1981-01-01,2.41159532391365,1.56256358379245,0.249881378297476,,9.87716318584296,,1981-01-01,7.16135207995059,3.24312654277021,0.144026436078352,-3.54749593514578
1981-04-01,7.95689835606748,3.5816763414448,0.207034480141665,-3.63534018324526,,,,,,,,,,,,,,,,1981-04-01,2.42000457905199,1.56330250736456,0.249903758443377,,11.7269016439325,,1981-04-01,7.13670131914095,3.23406216959814,0.13898874230977,-4.31216192481406
1981-07-01,8.14557731847663,3.67021517269654,0.204137257401208,-4.38954904330103,,,,,,,,,,,,,,,,1981-07-01,2.48504900562115,1.56428298091704,0.249907369890543,,11.5288226815234,,1981-07-01,7.11469409047171,3.22627259697771,0.13383622682649,-5.07733175597764
1981-10-01,7.88068578992525,3.5937581360669,0.104679891445708,-5.66210036520704,,,,,,,,,,,,,,,,1981-10-01,2.49701521552671,1.56498434321795,0.249872677682609,,6.93341421007475,,1981-10-01,7.09066499407154,3.21685429885977,0.130186003724377,-6.44618289281755
1982-01-01,7.45568606569075,3.49376751330033,-0.103964796365445,-7.29852210128502,,,,,,,,,,,,,,,,1982-01-01,2.50694947095397,1.56673527415054,0.249813356474957,,8.10141393430925,,1982-01-01,7.07701419266777,3.20931220741988,0.132854427294293,-7.84943663558602
1982-04-01,7.44661970448688,3.52579502656784,-0.182330793953389,-8.22119340449467,,,,,,,,,,,,,,,,1982-04-01,2.54177389539041,1.5691406532208,0.24973477725609,,8.43078029551312,,1982-04-01,7.07047783470605,3.20379148136745,0.13826355835051,-8.667671183724
1982-07-01,7.48569406779603,3.47052844579128,-0.023673186075176,-8.57560292415383,,,,,,,,,,,,,,,,1982-07-01,2.56253135589891,1.5715790899886,0.249632825960398,,4.27710593220397,,1982-07-01,7.0643850130788,3.19774757098435,0.145248267544617,-9.44266792676092
1982-10-01,7.37634589485252,3.43947697230101,-0.0658336318888224,-9.10493883353593,,,,,,,,,,,,,,,,1982-10-01,2.58176358163662,1.57451742061845,0.24951201647128,,2.50915410514748,,1982-10-01,7.06292186514,3.1927580438684,0.154581225190908,-9.86284463934987
1983-01-01,7.44689557139453,3.47150970947086,-0.0645948949666543,-9.03254977625261,,,,,,,,,,,,,,,,1983-01-01,2.5955605383372,1.57740867331575,0.249368197013351,,1.73030442860547,,1983-01-01,7.06073592562544,3.18809012998755,0.162495499574097,-9.60222322063032
1983-04-01,7.32935423550794,3.54493427142565,-0.341008866472119,-8.9734267599307,,,,,,,,,,,,,,,,1983-04-01,2.61557094073765,1.57952453980241,0.249190340685333,,2.03364576449206,,1983-04-01,7.05121351365199,3.18223962277348,0.165632141683656,-8.81260185867814
1983-07-01,7.74679423547327,3.56687629335204,0.0289540119218385,-7.53813121617168,,,,,,,,,,,,,,,,1983-07-01,2.6323322357811,1.58068273443171,0.248969670649207,,2.32210576452673,,1983-07-01,7.03300973499099,3.17454759442482,0.164072014472149,-7.90819975664181
1983-10-01,7.56062306495802,3.60823381543949,-0.246704632018782,-7.29806761386669,,,,,,,,,,,,,,,,1983-10-01,2.65685512584207,1.58103665437449,0.248705436486174,,2.48467693504198,,1983-10-01,7.00851621697418,3.16576248441308,0.158587306921595,-6.99098706659868
1984-01-01,7.69317568965669,3.6355280246479,-0.173209941594799,-6.47608493200005,,,,,,,,,,,,,,,,1984-01-01,2.68267955047006,1.58050225273547,0.248397634852425,,2.64352431034331,,1984-01-01,6.97752237757813,3.15576324624114,0.149229351761871,-6.18077704322161
1984-04-01,7.85461582610795,3.6525331908907,-0.0485647891135172,-5.66693109194694,,,,,,,,,,,,,,,,1984-04-01,2.70209717208243,1.57920767158871,0.248052790577906,,3.51798417389205,,1984-04-01,6.94147614141336,3.14475996517275,0.136991500928248,-5.55217824879969
1984-07-01,7.74745873755105,3.63036831886402,-0.107762563467067,-5.45093531433565,,,,,,,,,,,,,,,,1984-07-01,2.70355479930697,1.57744963575092,0.247682980084434,,4.52644126244895,,1984-07-01,6.90289888930728,3.1330853126328,0.123675316366547,-5.22940700177253
1984-10-01,7.61136777798729,3.61611690220358,-0.21301697370908,-5.54667787909943,,,,,,,,,,,,,,,,1984-10-01,2.70778118837359,1.57554130361204,0.247300088055762,,2.24673222201271,,1984-10-01,6.86444642790681,3.12160191972281,0.110070083861783,-5.1020225960998
1985-01-01,8.03071051847792,3.60642661738434,0.227293152192427,-4.66498638955841,,,,,,,,,,,,,,,,1985-01-01,2.71200956098586,1.57344440157687,0.246913060677298,,0.930589481522079,,1985-01-01,6.82501130555212,3.11011900032738,0.0954811658341173,-4.99067171768422
1985-04-01,7.85112932884382,3.59490294263328,0.0726463514191239,-4.80418362446756,,,,,,,,,,,,,,,,1985-04-01,2.70813667380486,1.5711541093234,0.246531967117433,,0.551370671156183,,1985-04-01,6.78369513499658,3.09831304755269,0.0797101641344945,-4.79646885779664
1985-07-01,8.00952610103984,3.61802316204385,0.181016673391238,-4.28773756598514,,,,,,,,,,,,,,,,1985-07-01,2.70798191951836,1.56863784960964,0.246163491437948,,0.356373898960163,,1985-07-01,6.74042312837254,3.08639231765191,0.0622316757476267,-4.44759965646199
1985-10-01,7.73260566413137,3.58550251667092,-0.0255371109302375,-4.38900925164501,,,,,,,,,,,,,,,,1985-10-01,2.69033399084794,1.56588380468152,0.245812651058909,,0.902794335868633,,1985-10-01,6.69491028657501,3.07372105978397,0.0441363095262574,-4.22553493188911
1986-01-01,7.79649775389355,3.56679030883534,0.0788435796208188,-3.9679465509671,,,,,,,,,,,,,,,,1986-01-01,2.6726043468752,1.56325812356212,0.24547939055524,,0.418502246106453,,1986-01-01,6.651356641287,3.06158668504438,0.0268384571928302,-4.05061124197152
1986-04-01,7.51945419636612,3.52265495290336,-0.102701957432088,-4.16600514269851,,,,,,,,,,,,,,,,1986-04-01,2.64937372362541,1.56073977869676,0.245164301562191,,-0.210754196366125,,1986-04-01,6.60938701365696,3.04965431972056,0.0106875239845626,-3.98504275938558
